study_title,study_identifier,conditions,sponsor
Evaluating the Hope@School Prevention Program,NCT06359262,Mental Health Wellness 1,Karolinska Institutet
"FRAME, External Support for Lower Limb Autologous Grafts",NCT04003480,Peripheral Arterial Disease|Peripheral Artery Disease,Vascular Graft Solutions Ltd.
Study of Efficacy and Safety of FRSW107 in Pediatric Patients With Severe Hemophilia A,NCT06136507,Severe Hemophilia A,Jiangsu Gensciences lnc.
Starlight Therapy in Palliative Care,NCT03716999,Symptom Management,Nova Scotia Health Authority
"HIV, Equity, and Addiction Training (HEAT) Program",NCT06370481,Substance Use Disorders|Hiv|Opioid Use Disorder|Stimulant Use (Diagnosis),University of Alabama at Birmingham
Technical Development of Multi-Parametric Renocerebral MRI,NCT02831335,Aging,University of Minnesota
Improving Functioning Among Aging Women Veterans,NCT06580470,Menopause,VA Office of Research and Development
Bispecific T Cell Engager BRiTE for Patients With Grade IV Malignant Glioma,NCT04903795,Malignant Glioma|Glioblastoma,Duke University
Timed Aspirin Chronobiome Study,NCT03590821,Healthy,University of Pennsylvania
Electroconvulsive Therapy for Treatment of AlzheimerÂ´s Disease,NCT02438202,Alzheimer's Disease,"Central Institute of Mental Health, Mannheim"
Efficacy and Safety of Two Fixed-dose Combinations in Men With Lower Urinary Tract Symptoms Associated With Benign Prostatic Hyperplasia. (BENIPRO),NCT06546735,Benign Prostatic Hyperplasia With Lower Urinary Tract Symptoms,Eurofarma Laboratorios S.A.
Fixed-dose Combination of an Angiotensin Receptor Blocker and Thiazide Diuretic for Essential Hypertension,NCT06608472,Essential Arterial Hypertension,Eurofarma Laboratorios S.A.
iSGLT2 Inhibitor and a iDPP -4 Inhibitor in Treatment of Type 2 Diabetes Mellitus in Patients Treated With Metformin (TRIAD),NCT06560333,"Diabetes Mellitus, Type 2",Eurofarma Laboratorios S.A.
Fatty Acids in Airway Smooth Muscle of Asthmatics,NCT02809235,Asthma,Brigham and Women's Hospital
REstoring Flow by REvascularization with Submaximal Angioplasty in Hemodynamic IntraCranial Atherosclerotic Stenosis,NCT03729817,"Intracranial Atherosclerotic Disease|Stroke|Angioplasty, Balloon|Hemodynamics|Device Safety",Case Western Reserve University
Feasibility Study of the transShield Embolic Protection System,NCT06652841,Aortic Stenosis,"TransAortic Medical, Inc."
Use of Allied-health Professionals to Improve Treatment of Disease,NCT06337799,Preeclampsia,University of Iowa
Evaluation of Report-Back Strategies for Long-term and Short-term Exposure Information in Rural Tribal Populations,NCT06593340,Behavior Change,University of Utah
